key_date,key_amount_clp,meta_invoice_id,meta_brand,meta_date,meta_transaction_id,meta_payment_reference,meta_amount_clp,meta_status,meta_source_file,cartola_row,cartola_reference,cartola_date,cartola_facebk_code,cartola_amount_clp,cartola_amount_usd,cartola_city,cartola_description
2026-03-10,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-10,25935519369466764-25856422970709742,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-10T20-23 Transacción n.º 25935519369466764-25856422970709742.pdf,16,1103 74987506069000322721073,2026-03-10,QXTTDJZ5E2,600000,672.26,fb.me/ads,FACEBK *QXTTDJZ5E2
2026-03-10,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-10,25976871075331596-25928309896854378,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-10T03-50 Transacción n.º 25976871075331596-25928309896854378.pdf,15,1103 74987506069000307752226,2026-03-10,RZ77YHD6E2,600000,672.26,fb.me/ads,FACEBK *RZ77YHD6E2
2026-03-11,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-11,25991736590511711-25996376553381042,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-11T14-58 Transacción n.º 25991736590511711-25996376553381042.pdf,19,1203 74987506070003026025061,2026-03-11,6AKJ2HV5E2,600000,693.68,fb.me/ads,FACEBK *6AKJ2HV5E2
2026-03-11,600000,meta-pilares-2026-03,Pilares,2026-03-11,26338985145788789-26253201047700538,,600000,Pagado,Facturas Meta\Pilares\marzo_2026\2026-03-11T02-04 Transacción n.º 26338985145788789-26253201047700538.pdf,18,1203 74987506070000006042090,2026-03-11,APWVYGV5E2,600000,693.68,fb.me/ads,FACEBK *APWVYGV5E2
2026-03-11,600000,meta-socovesa-2026-03,Socovesa,2026-03-11,26197584616599399-26662092860148571,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-11T13-10 Transacción n.º 26197584616599399-26662092860148571.pdf,20,1103 74987506069000144089220,2026-03-11,DDT28H56E2,600000,693.68,fb.me/ads,FACEBK *DDT28H56E2
2026-03-12,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-12,25954882590863774-25890506970634676,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-12T09-57 Transacción n.º 25954882590863774-25890506970634676.pdf,21,1303 74987506071000227733088,2026-03-12,FLML5HV5E2,600000,685.53,fb.me/ads,FACEBK *FLML5HV5E2
2026-03-12,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-12,26268335589518470-26004200112598690,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-12T23-48 Transacción n.º 26268335589518470-26004200112598690.pdf,23,1303 74987506071000221330097,2026-03-12,L8HESGV6E2,600000,685.53,fb.me/ads,FACEBK *L8HESGV6E2
2026-03-12,600000,meta-pilares-2026-03,Pilares,2026-03-12,26219499671070669-26270612969292679,,600000,Pagado,Facturas Meta\Pilares\marzo_2026\2026-03-12T18-27 Transacción n.º 26219499671070669-26270612969292679.pdf,22,1303 74987506071000337552089,2026-03-12,T88GDH96E2,600000,685.53,fb.me/ads,FACEBK *T88GDH96E2
2026-03-13,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-13,25980884861596877-26018977457787618,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-13T19-23 Transacción n.º 25980884861596877-26018977457787618.pdf,24,1303 74987506072000203636064,2026-03-13,2WVY4HR6E2,600000,673.82,fb.me/ads,FACEBK *2WVY4HR6E2
2026-03-13,600000,meta-socovesa-2026-03,Socovesa,2026-03-13,26280110028346855-26301554869535710,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-13T14-12 Transacción n.º 26280110028346855-26301554869535710.pdf,25,1603 74987506072000543458096,2026-03-13,48TCPJZ5E2,600000,669.76,fb.me/ads,FACEBK *48TCPJZ5E2
2026-03-14,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-14,25893272167024822-25976010625417637,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-14T11-51 Transacción n.º 25893272167024822-25976010625417637.pdf,27,1603 74987506073000316849082,2026-03-14,84WUZHM6E2,600000,669.76,fb.me/ads,FACEBK *84WUZHM6E2
2026-03-14,600000,meta-pilares-2026-03,Pilares,2026-03-14,26356350777385563-26427528346934469,,600000,Pagado,Facturas Meta\Pilares\marzo_2026\2026-03-14T09-52 Transacción n.º 26356350777385563-26427528346934469.pdf,28,1603 74987506073000424056224,2026-03-14,KCRD9HR6E2,600000,669.76,fb.me/ads,FACEBK *KCRD9HR6E2
2026-03-14,600000,meta-socovesa-2026-03,Socovesa,2026-03-14,26229408633417003-26344691261888732,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-14T09-18 Transacción n.º 26229408633417003-26344691261888732.pdf,29,1603 74143616074000064362228,2026-03-14,LLJ3RJZ5E2,600000,669.76,DUBLIN,FACEBK *LLJ3RJZ5E2
2026-03-15,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-15,25924677263884313-25974661135552589,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-15T20-16 Transacción n.º 25924677263884313-25974661135552589.pdf,31,1603 74987506074000837422228,2026-03-15,5KECFHV5E2,600000,669.76,fb.me/ads,FACEBK *5KECFHV5E2
2026-03-15,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-15,25977952528556781-26026762383675798,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-15T02-52 Transacción n.º 25977952528556781-26026762383675798.pdf,32,1603 74987506074000306346098,2026-03-15,EJ3T3JM6E2,600000,669.76,fb.me/ads,FACEBK *EJ3T3JM6E2
2026-03-15,600000,meta-pilares-2026-03,Pilares,2026-03-15,26249338821420087-26260174387003202,,600000,Pagado,Facturas Meta\Pilares\marzo_2026\2026-03-15T18-41 Transacción n.º 26249338821420087-26260174387003202.pdf,30,1603 74987506074000402602097,2026-03-15,HGYMAHR6E2,600000,669.76,fb.me/ads,FACEBK *HGYMAHR6E2
2026-03-16,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-16,26304381509247211-26042025678816135,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-16T14-47 Transacción n.º 26304381509247211-26042025678816135.pdf,33,1703 74987506075004124665217,2026-03-16,6XWKXJZ5E2,600000,669.76,fb.me/ads,FACEBK *6XWKXJZ5E2
2026-03-16,600000,meta-socovesa-2026-03,Socovesa,2026-03-16,26374537935570734-26374537998904061,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-16T16-24 Transacción n.º 26374537935570734-26374537998904061.pdf,36,1603 74987506074000839804225,2026-03-16,93RHFHV5E2,600000,669.76,fb.me/ads,FACEBK *93RHFHV5E2
2026-03-17,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-17,25921914660827239-26001048502913850,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-17T08-08 Transacción n.º 25921914660827239-26001048502913850.pdf,39,1803 74987506076000917630219,2026-03-17,4YGQHHR6E2,600000,676.34,fb.me/ads,FACEBK *4YGQHHR6E2
2026-03-17,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-17,26056699947348708-26023023857382977,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-17T22-41 Transacción n.º 26056699947348708-26023023857382977.pdf,38,1803 74987506076000919172210,2026-03-17,HDNYLJH6E2,600000,676.34,fb.me/ads,FACEBK *HDNYLJH6E2
2026-03-17,600000,meta-pilares-2026-03,Pilares,2026-03-17,26457749340579036-26457749450579025,,600000,Pagado,Facturas Meta\Pilares\marzo_2026\2026-03-17T08-43 Transacción n.º 26457749340579036-26457749450579025.pdf,37,1803 74987506076000824340217,2026-03-17,KV2BTH56E2,600000,676.34,fb.me/ads,FACEBK *KV2BTH56E2
2026-03-18,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-18,26063373030014731-26016616478023719,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-18T19-15 Transacción n.º 26063373030014731-26016616478023719.pdf,42,1903 74987506077000818054062,2026-03-18,UZ2KDJM6E2,600000,677.86,fb.me/ads,FACEBK *UZ2KDJM6E2
2026-03-18,600000,meta-pilares-2026-03,Pilares,2026-03-18,26420535277633772-26402255669461740,,600000,Pagado,Facturas Meta\Pilares\marzo_2026\2026-03-18T20-57 Transacción n.º 26420535277633772-26402255669461740.pdf,40,1803 74987506077000902187067,2026-03-18,ZRCNAHV6E2,600000,677.86,fb.me/ads,FACEBK *ZRCNAHV6E2
2026-03-18,600000,meta-socovesa-2026-03,Socovesa,2026-03-18,26226165760407948-26221355230889009,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-18T08-39 Transacción n.º 26226165760407948-26221355230889009.pdf,41,1903 74987506077000440676225,2026-03-18,ZSVBRJH6E2,600000,673.93,fb.me/ads,FACEBK *ZSVBRJH6E2
2026-03-19,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-19,26028438350174864-26014320271586675,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-19T14-56 Transacción n.º 26028438350174864-26014320271586675.pdf,44,1903 74987506077000649489065,2026-03-19,LQWCXH96E2,600000,673.93,fb.me/ads,FACEBK *LQWCXH96E2
2026-03-19,600000,meta-socovesa-2026-03,Socovesa,2026-03-19,26409643652060162-26243635545327636,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-19T22-56 Transacción n.º 26409643652060162-26243635545327636.pdf,45,2003 74987506078000536602068,2026-03-19,VXKH8KZ5E2,600000,673.93,fb.me/ads,FACEBK *VXKH8KZ5E2
2026-03-19,600000,meta-socovesa-2026-03,Socovesa,2026-03-19,26739993119025211-26357848407239689,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-19T02-36 Transacción n.º 26739993119025211-26357848407239689.pdf,43,2003 74987506078000606074214,2026-03-19,ZEA2YH96E2,600000,673.93,fb.me/ads,FACEBK *ZEA2YH96E2
2026-03-20,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-20,25955356844149687-26088378854180811,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-20T09-52 Transacción n.º 25955356844149687-26088378854180811.pdf,48,2003 74987506079000801975073,2026-03-20,HGS9VJD6E2,600000,669.87,fb.me/ads,FACEBK *HGS9VJD6E2
2026-03-20,600000,meta-pilares-2026-03,Pilares,2026-03-20,26353973367623305-26441598285527471,,600000,Pagado,Facturas Meta\Pilares\marzo_2026\2026-03-20T15-41 Transacción n.º 26353973367623305-26441598285527471.pdf,47,2303 74143616080000063312697,2026-03-20,HLAJ4J56E2,600000,669.87,DUBLIN,FACEBK *HLAJ4J56E2
2026-03-20,600000,meta-socovesa-2026-03,Socovesa,2026-03-20,26295903173434209-26420996014258259,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-20T21-03 Transacción n.º 26295903173434209-26420996014258259.pdf,46,2303 74987506079000924312071,2026-03-20,USECUHR6E2,600000,669.87,fb.me/ads,FACEBK *USECUHR6E2
2026-03-21,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-21,26040948745590494-25972243865794318,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-21T19-49 Transacción n.º 26040948745590494-25972243865794318.pdf,49,2303 74987506080000203984225,2026-03-21,97JK6J96E2,600000,665.21,fb.me/ads,FACEBK *97JK6J96E2
2026-03-21,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-21,26042324918786208-26091225407229495,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-21T00-31 Transacción n.º 26042324918786208-26091225407229495.pdf,51,2303 74987506080000700060081,2026-03-21,DWETMJM6E2,600000,665.21,fb.me/ads,FACEBK *DWETMJM6E2
2026-03-21,600000,meta-socovesa-2026-03,Socovesa,2026-03-21,26389373784087151-26260749186949613,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-21T18-05 Transacción n.º 26389373784087151-26260749186949613.pdf,50,2303 74987506080000151673069,2026-03-21,FJH7PHV6E2,600000,665.21,fb.me/ads,FACEBK *FJH7PHV6E2
2026-03-22,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-22,26075628772122485-26063876473297718,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-22T15-08 Transacción n.º 26075628772122485-26063876473297718.pdf,55,2303 74987506081000934662214,2026-03-22,RNFB6KD6E2,600000,665.21,fb.me/ads,FACEBK *RNFB6KD6E2
2026-03-22,600000,meta-pilares-2026-03,Pilares,2026-03-22,26373293129024659-26369485259405449,,600000,Pagado,Facturas Meta\Pilares\marzo_2026\2026-03-22T00-13 Transacción n.º 26373293129024659-26369485259405449.pdf,53,2303 74987506081000200314029,2026-03-22,TTM24KH6E2,600000,665.21,fb.me/ads,FACEBK *TTM24KH6E2
2026-03-22,600000,meta-socovesa-2026-03,Socovesa,2026-03-22,26781350754889447-26321128680911661,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-22T15-12 Transacción n.º 26781350754889447-26321128680911661.pdf,54,2303 74987506081000534576210,2026-03-22,XSGT2JR6E2,600000,665.21,fb.me/ads,FACEBK *XSGT2JR6E2
2026-03-23,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-23,26058423803842988-26123011414050888,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-23T10-38 Transacción n.º 26058423803842988-26123011414050888.pdf,57,2403 74987506082003201724062,2026-03-23,CRPLEJ56E2,600000,665.21,fb.me/ads,FACEBK *CRPLEJ56E2
2026-03-23,600000,meta-pilares-2026-03,Pilares,2026-03-23,26476383325382300-26476383382048961,,600000,Pagado,Facturas Meta\Pilares\marzo_2026\2026-03-23T17-23 Transacción n.º 26476383325382300-26476383382048961.pdf,58,2403 74987506082003111498088,2026-03-23,TGXR9JV5E2,600000,665.21,fb.me/ads,FACEBK *TGXR9JV5E2
2026-03-23,600000,meta-socovesa-2026-03,Socovesa,2026-03-23,26325097120514814-26408299198861276,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-23T12-00 Transacción n.º 26325097120514814-26408299198861276.pdf,56,2403 74987506082001120805095,2026-03-23,ZTTR8KD6E2,600000,665.21,fb.me/ads,FACEBK *ZTTR8KD6E2
2026-03-24,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-24,26014778458207526-25996160706735967,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-24T01-13 Transacción n.º 26014778458207526-25996160706735967.pdf,60,2503 74987506083000417593082,2026-03-24,HDDBHJ96E2,600000,671.76,fb.me/ads,FACEBK *HDDBHJ96E2
